anio,comuna,sancion,vigente,definitivo,devengado
2013,1,200800000,18017326,18017325,18017325
2013,12,10000000,21792500,21792500,21792500
2013,4,6000000,7500000,7500000,7500000
2013,1,267448906,357458012,333346623,332207012
2013,10,19158059,32599507,32599497,32599497
2013,11,25994952,55853877,55853871,55737874
2013,12,22949592,52953903,52953894,52953893
2013,13,50055416,63532095,63531298,63531298
2013,14,79178088,93974270,93507032,89965700
2013,15,59345736,49317123,49304641,48813668
2013,2,26568595,33821123,33821116,33820037
2013,3,45781428,253102583,253101874,253101837
2013,4,454652463,422997400,418081892,416788859
2013,5,13306182,10842347,10842342,10794313
2013,6,31781566,43986060,43986053,43979997
2013,7,83764235,103683635,103652122,103105667
2013,8,147664164,831128002,106082990,106082969
2013,9,113124695,118848028,118835742,118210404
2013,1,337098898,748406691,748238593,747814349
2013,10,81884054,125918537,125906555,125559169
2013,11,82857254,141633741,141625248,141277489
2013,12,147229173,225405136,225375469,225359230
2013,13,96768141,146742779,146671102,145656038
2013,14,94670049,161347684,161306634,161171285
2013,15,80087276,197674274,197635905,196386677
2013,2,86611570,114750678,113556941,113526423
2013,3,86830704,98177253,97930003,97913662
2013,4,298194153,323921761,323452371,323364969
2013,5,89333020,110329932,110300364,110173696
2013,6,84780175,95879121,95876580,95380354
2013,7,79967324,214608143,214500200,214487639
2013,8,131974837,317124764,317088402,317069332
2013,9,81603649,129935344,129886351,129572543
2013,1,1960000,1535113,1535112,1535112
2013,1,11476000,12352679,12352659,12273198
2013,10,0,300000,300000,300000
2013,11,0,353216,353216,353216
2013,13,0,300000,300000,300000
2013,14,0,149811,149810,149810
2013,15,0,148046,148046,148046
2013,2,176000,300000,300000,300000
2013,3,174000,290400,290400,290400
2013,4,278000,297960,297960,297960
2013,6,0,298070,298070,298070
2013,7,0,299200,299200,299200
2013,9,0,299410,0,0
2013,1,414700323,1152580597,1150749753,1148132740
2013,10,12147486,3728829,3728827,3727815
2013,11,15229400,3710620,3710619,3670679
2013,12,20754785,16633403,16633400,16625628
2013,13,19604423,7678642,7678639,7670917
2013,14,25052372,14784137,14784135,14743662
2013,15,16267834,18786917,18786912,18716050
2013,2,19772774,27474196,27456193,27425426
2013,3,8962013,6217856,6217854,6187086
2013,4,27919765,19995481,19995476,19995476
2013,5,7249788,7170241,7170237,7168949
2013,6,12009811,9208155,9208152,9207638
2013,7,24179020,7792384,7792381,7792096
2013,8,34201555,6536658,6535855,6500210
2013,9,12624946,6658195,6658194,6658194
2013,1,141750936,158497660,157717879,157617953
2013,10,956986,7794050,7760591,7760591
2013,11,1235340,7552946,7538703,7537242
2013,12,1486631,7498702,7480958,7480168
2013,13,2461456,6872167,6865489,6865489
2013,14,1684886,6924409,6919374,6919337
2013,15,7881000,15625681,15619162,15618886
2013,2,1403596,6241385,6238557,6238557
2013,3,2156273,7873909,7863353,7862793
2013,4,58136041,104793422,104478960,103796228
2013,5,1740136,6862847,6856178,6856178
2013,6,1823556,7076245,7069415,7068901
2013,7,1061844,7708378,7701783,7700405
2013,8,6431225,12830565,12807409,12807409
2013,9,2793194,11786924,11771650,11770198
2013,1,74000000,6000000,5976920,5976920
2013,12,5076690,274782976,272968286,272968286
2013,3,267360900,1235248669,1227848669,1227848669
2013,4,314517250,154827806,134650789,134650789
2013,5,193045160,130284407,119804957,119804957
2013,8,0,21358180,21357891,21357891
